id,scheme_name,category,url,scheme_slug,source_type,status,last_reviewed
18,ICICI Prudential Value Fund Direct Growth,value,https://groww.in/mutual-funds/icici-prudential-value-direct-growth,icici-prudential-value-direct-growth,scheme_page,approved,2026-05-18
19,ICICI Prudential Liquid Fund Direct Plan Growth,liquid_debt,https://groww.in/mutual-funds/icici-prudential-liquid-fund-direct-plan-growth,icici-prudential-liquid-fund-direct-plan-growth,scheme_page,approved,2026-05-18
20,ICICI Prudential Short Term Plan Direct Growth,short_duration_debt,https://groww.in/mutual-funds/icici-prudential-short-term-plan-direct-growth,icici-prudential-short-term-plan-direct-growth,scheme_page,approved,2026-05-18
21,ICICI Prudential Nifty Index Fund Direct Growth,index_nifty_50,https://groww.in/mutual-funds/icici-prudential-nifty-index-fund-direct-growth,icici-prudential-nifty-index-fund-direct-growth,scheme_page,approved,2026-05-18
22,ICICI Prudential Flexicap Fund Direct Growth,flexi_cap,https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,icici-prudential-flexicap-fund-direct-growth,scheme_page,approved,2026-05-18
23,ICICI Prudential Gold ETF FoF Direct Growth,commodity_fof,https://groww.in/mutual-funds/icici-prudential-gold-etf-fof-direct-growth,icici-prudential-gold-etf-fof-direct-growth,scheme_page,approved,2026-05-18
24,ICICI Prudential Infrastructure Fund Direct Growth,sectoral_infrastructure,https://groww.in/mutual-funds/icici-prudential-infrastructure-fund-direct-growth,icici-prudential-infrastructure-fund-direct-growth,scheme_page,approved,2026-05-18
25,ICICI Prudential Balanced Fund Direct Growth,hybrid_balanced,https://groww.in/mutual-funds/icici-prudential-balanced-direct-growth,icici-prudential-balanced-direct-growth,scheme_page,approved,2026-05-18
26,ICICI Prudential Commodities Fund Direct Growth,thematic_commodities,https://groww.in/mutual-funds/icici-prudential-commodities-fund-direct-growth,icici-prudential-commodities-fund-direct-growth,scheme_page,approved,2026-05-18
27,ICICI Prudential Top 100 Fund Direct Growth,large_cap,https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth,icici-prudential-top-100-fund-direct-growth,scheme_page,approved,2026-05-18
28,ICICI Prudential Transportation and Logistics Fund Direct Growth,sectoral,https://groww.in/mutual-funds/icici-prudential-transportation-and-logistics-fund-direct-growth,icici-prudential-transportation-and-logistics-fund-direct-growth,scheme_page,approved,2026-05-18
29,ICICI Prudential Active Momentum Fund Direct Growth,equity_momentum,https://groww.in/mutual-funds/icici-prudential-active-momentum-fund-direct-growth,icici-prudential-active-momentum-fund-direct-growth,scheme_page,approved,2026-05-18
30,ICICI Prudential Aggressive Hybrid Active FoF Direct Growth,hybrid_fof,https://groww.in/mutual-funds/icici-prudential-aggressive-hybrid-active-fof-direct-growth,icici-prudential-aggressive-hybrid-active-fof-direct-growth,scheme_page,approved,2026-05-18

